date;category;amount
31/10/2020;serviços;97
31/10/2020;casa;75.85
31/10/2020;vestuário;30.71
03/11/2020;restaurante;40
03/11/2020;restaurante;42.5
05/11/2020;restaurante;38
05/11/2020;restaurante;37.9
06/11/2020;serviços;161.76
07/11/2020;restaurante;32.89
09/11/2020;restaurante;38
09/11/2020;;-2374.89
10/11/2020;restaurante;47
11/11/2020;restaurante;37.9
12/11/2020;restaurante;45.55
12/11/2020;serviços;35
12/11/2020;serviços;37.35
14/11/2020;restaurante;37.9
14/11/2020;;-37.35
14/11/2020;restaurante;41.89
16/11/2020;restaurante;19.52
16/11/2020;serviços;34.88
16/11/2020;restaurante;26.9
19/11/2020;restaurante;42
20/11/2020;restaurante;33.8
21/11/2020;restaurante;31.61
21/11/2020;restaurante;46.55
23/11/2020;;5.32
23/11/2020;restaurante;45.55
23/11/2020;restaurante;114.3
23/11/2020;vestuário;62
23/11/2020;restaurante;30.18
23/11/2020;restaurante;11.98
23/11/2020;restaurante;41.6
23/11/2020;restaurante;30.4
23/11/2020;restaurante;12.61
23/11/2020;vestuário;83.31
23/11/2020;serviços;83.41
24/11/2020;restaurante;45.55
24/11/2020;restaurante;19.46
25/11/2020;restaurante;29.38
25/11/2020;restaurante;37.9
25/11/2020;restaurante;5.87
26/11/2020;restaurante;46.55
27/11/2020;restaurante;35.65
27/11/2020;transporte;22.75
28/11/2020;restaurante;40.6
